trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,distance,distance_ratio,pku_time,dpo_time,avg_speed,pku_LGA,dpo_LGA
7.0,-73.87068176269531,40.773681640625,-73.95454406738281,40.80991744995117,5.044161752216873,1.38774296778321,2016-05-17 00:22:01,2016-05-17 00:38:04,26.168224299065418,0.0517929643543218,5.087611981751004
9.51,-73.86334228515625,40.769798278808594,-73.96817016601562,40.78702163696289,5.604663365742349,1.6968012848244243,2016-05-17 00:22:02,2016-05-17 00:48:20,21.695817490494296,0.4227950617147314,5.207705458468777
13.3,-73.86263275146483,40.768909454345696,-73.85932159423827,40.6678466796875,6.975481126395214,1.9066785156471593,2016-05-17 00:22:07,2016-05-17 00:44:35,35.519287833827896,0.4876419441848368,7.278903315296137
11.42,-73.8626708984375,40.76882553100585,-73.97772216796875,40.776100158691406,6.0328436675598756,1.8929713132478843,2016-05-17 00:22:14,2016-05-17 00:56:12,20.17271835132483,0.4894173400835464,5.62079695492566
7.77,-73.86247253417969,40.76897811889648,-73.95331573486328,40.72695541381836,5.563957999380198,1.3964878960023683,2016-05-17 00:22:37,2016-05-17 00:36:18,34.07064555420219,0.4917835481063586,5.3816331612185495
7.62,-73.8636245727539,40.76995849609375,-73.95217132568358,40.71741104125977,5.8799190779996495,1.2959362023384047,2016-05-17 00:22:39,2016-05-17 00:39:29,27.16039603960396,0.40444021052710594,5.7504883154515944
7.36,-73.87306213378906,40.77421951293945,-73.94847869873048,40.784828186035156,4.007836203351159,1.8364023943508279,2016-05-17 00:22:40,2016-05-17 00:34:18,37.95988538681949,0.16978453466385024,4.168924177212607
9.08,-73.87332153320312,40.77404022216797,-73.96868133544923,40.79179000854492,5.130503797793089,1.7698067008362426,2016-05-17 00:22:41,2016-05-17 00:39:19,32.75350701402806,0.17639976075734193,5.304397193363228
11.3,-73.86264038085938,40.769081115722656,-73.97267150878906,40.755653381347656,5.824636575868033,1.9400352026797458,2016-05-17 00:22:42,2016-05-17 00:41:46,35.55944055944056,0.48053068782462344,5.486043732678792
10.12,-73.87307739257811,40.77410888671875,-73.97869873046875,40.72718048095703,6.40049064523673,1.581128785420746,2016-05-17 00:22:46,2016-05-17 00:43:23,29.45189975747777,0.1668874290047839,6.492208911010457
10.21,-73.86351776123048,40.76998901367188,-73.9731216430664,40.7963981628418,6.009294585562223,1.6990346961073075,2016-05-17 00:22:50,2016-05-17 00:45:42,26.79008746355685,0.4081330928782518,5.612488974780293
8.09,-73.86388397216798,40.76985549926758,-73.94700622558595,40.78453826904297,4.459783619247831,1.8139893525516888,2016-05-17 00:22:59,2016-05-17 00:42:02,25.480314960629922,0.3967937624512384,4.0895732561092215
9.15,-73.8636245727539,40.76991653442383,-73.96173095703125,40.765438079833984,5.13615573913675,1.781488035940645,2016-05-17 00:23:02,2016-05-17 00:48:12,21.814569536423843,0.4059569267604022,4.810046695532322
7.9,-73.86345672607422,40.769996643066406,-73.9488754272461,40.786376953125,4.603999356425068,1.7158994579300342,2016-05-17 00:23:12,2016-05-17 00:40:33,27.319884726224785,0.4106100759120247,4.21130809816309
8.1,-73.87093353271484,40.77384948730469,-73.94698333740234,40.825996398925774,5.359632218326238,1.5112977290314058,2016-05-17 00:23:24,2016-05-17 00:39:47,29.664292980671412,0.06840151526307346,5.4256435457425365
5.0,-73.86272430419923,40.76893615722656,-73.93035125732422,40.75279998779297,3.7056381175372595,1.349295274230114,2016-05-17 00:23:24,2016-05-17 00:35:38,24.52316076294278,0.48267881998759454,3.4377029827312486
6.5,-73.87113952636719,40.77396011352539,-73.96769714355469,40.757102966308594,5.178398719670952,1.255214276048065,2016-05-17 00:23:28,2016-05-17 00:41:57,21.100090171325515,0.08077747317214734,5.210619012256265
8.5,-73.86273193359375,40.768821716308594,-73.94513702392578,40.77885437011719,4.361223646198803,1.9489942937020694,2016-05-17 00:23:32,2016-05-17 00:36:34,39.130434782608695,0.48700316249125175,3.93471274072667
10.7,-73.86235809326173,40.76912307739258,-73.9349136352539,40.849769592285156,6.7322456019850465,1.5893656637905538,2016-05-17 00:23:41,2016-05-17 00:41:42,35.63367252543941,0.49118697335912415,6.281752949209831
16.73,-73.873046875,40.77418899536133,-73.97689819335938,40.61471939086913,12.271625853267974,1.3633075356143414,2016-05-17 00:23:41,2016-05-17 00:56:36,30.49518987341772,0.16806378009238082,12.265324572326678
10.72,-73.87308502197266,40.77420043945313,-73.97947692871094,40.749427795410156,5.817128967452947,1.842833476785335,2016-05-17 00:23:42,2016-05-17 00:44:16,31.273905996758508,0.1701908938153418,5.937001920409066
7.5,-73.87307739257811,40.774192810058594,-73.94515991210938,40.777042388916016,3.7715728565284783,1.9885602864644991,2016-05-17 00:23:47,2016-05-17 00:36:17,36.0,0.1695883309577823,3.925124484851971
8.6,-73.87083435058595,40.7736701965332,-73.96681976318358,40.693756103515625,7.4559433087309,1.1534422465269298,2016-05-17 00:23:48,2016-05-17 00:38:41,34.66965285554311,0.055231052609302375,7.443922193175499
5.4,-73.87082672119139,40.77376174926758,-73.82180786132812,40.77502059936523,2.5628452773953594,2.107033166468818,2016-05-17 00:23:53,2016-05-17 00:33:56,32.23880597014925,0.06031391020060514,2.5339860698117906
8.6,-73.86345672607422,40.769718170166016,-73.95471954345702,40.78362274169922,4.864131927732152,1.768044150070916,2016-05-17 00:23:55,2016-05-17 00:44:47,24.72843450479233,0.42067815997532704,4.474844264107522
8.77,-73.87369537353516,40.77396011352539,-73.98846435546875,40.74631881713867,6.294207337137472,1.3933446310633433,2016-05-17 00:24:01,2016-05-17 00:46:24,23.50856291883842,0.1925034266595017,6.4481295393956195
7.3,-73.87081909179686,40.77361679077149,-73.94448852539062,40.70869445800781,5.907634711695769,1.2356891304649669,2016-05-17 00:24:12,2016-05-17 00:39:25,28.784227820372397,0.051772603171457765,5.896383992133605
9.7,-73.8635025024414,40.76993179321289,-73.97229766845702,40.793212890625,5.9068658741254465,1.6421568064529912,2016-05-17 00:24:20,2016-05-17 00:47:34,25.05021520803443,0.41084817107060334,5.5117583300315784
9.0,-73.86274719238281,40.76887512207031,-73.97163391113281,40.750221252441406,5.834645888016962,1.5425100636328173,2016-05-17 00:24:24,2016-05-17 00:43:36,28.125,0.48417937520204063,5.5280862872316625
11.6,-73.86349487304686,40.770015716552734,-74.015625,40.71551132202149,8.797383712930007,1.3185738372364992,2016-05-17 00:24:28,2016-05-17 00:55:10,22.671009771986967,0.40822462731064063,8.574009526947995
4.82,-73.86268615722656,40.768890380859375,-73.91770935058594,40.748268127441406,3.2085779634772305,1.5022231202935845,2016-05-17 00:24:29,2016-05-17 00:36:08,24.82403433476395,0.48614176347665256,3.0121309159301637
